"Name","Opponent","role","winrate"
"Gragas","Sejuani","Jungle","48.54"
"Gragas","Tryndamere","Jungle","53.52"
"Gragas","Quinn","Jungle","56.91"
"Gragas","Chogath","Jungle","50"
"Gragas","Hecarim","Jungle","46.47"
"Gragas","JarvanIV","Jungle","50.46"
"Gragas","Zac","Jungle","51.14"
"Gragas","Nocturne","Jungle","49.91"
"Gragas","MonkeyKing","Jungle","50.85"
"Gragas","XinZhao","Jungle","46.7"
"Gragas","Kayle","Jungle","49.52"
"Gragas","Udyr","Jungle","49.52"
"Gragas","Pantheon","Jungle","53.73"
"Gragas","Rammus","Jungle","50.35"
"Gragas","Shaco","Jungle","46.65"
"Gragas","Vi","Jungle","47.87"
"Gragas","Shyvana","Jungle","47.05"
"Gragas","Rengar","Jungle","51.65"
"Gragas","Diana","Jungle","52.49"
"Gragas","Volibear","Jungle","45.11"
"Gragas","Amumu","Jungle","47.55"
"Gragas","Elise","Jungle","53.75"
"Gragas","Nidalee","Jungle","47.2"
"Gragas","Poppy","Jungle","57.68"
"Gragas","Jax","Jungle","46.59"
"Gragas","Kindred","Jungle","47.76"
"Gragas","Maokai","Jungle","49.74"
"Gragas","MasterYi","Jungle","48.55"
"Gragas","Trundle","Jungle","51.96"
"Gragas","Khazix","Jungle","49.65"
"Gragas","Fizz","Jungle","50.48"
"Gragas","Graves","Jungle","47.67"
"Gragas","Ekko","Jungle","46.32"
"Gragas","LeeSin","Jungle","53.58"
"Akali","Yorick","Top","70"
"Akali","Urgot","Top","35.71"
"Akali","Mordekaiser","Top","63.15"
"Akali","Galio","Top","73.33"
"Akali","Nunu","Top","50"
"Akali","Aatrox","Top","54.16"
"Akali","Singed","Top","47.22"
"Akali","Rumble","Top","54.16"
"Akali","Cassiopeia","Top","80"
"Akali","Swain","Top","63.15"
"Akali","Heimerdinger","Top","50"
"Akali","Olaf","Top","61.22"
"Akali","Illaoi","Top","44.31"
"Akali","Kennen","Top","52.77"
"Akali","Jayce","Top","58.06"
"Akali","Warwick","Top","66.66"
"Akali","Sion","Top","38.35"
"Akali","Teemo","Top","50.53"
"Akali","DrMundo","Top","45.45"
"Akali","Vladimir","Top","55.43"
"Akali","Tryndamere","Top","45.94"
"Akali","Gnar","Top","50.41"
"Akali","Quinn","Top","38.23"
"Akali","TahmKench","Top","47.16"
"Akali","Chogath","Top","48.64"
"Akali","Hecarim","Top","57.89"
"Akali","Fiora","Top","54.81"
"Akali","JarvanIV","Top","55.81"
"Akali","Zac","Top","62.5"
"Akali","Ryze","Top","54.54"
"Akali","MonkeyKing","Top","42.35"
"Akali","Garen","Top","44.73"
"Akali","Kayle","Top","48.78"
"Akali","Pantheon","Top","42.85"
"Akali","Renekton","Top","46.92"
"Akali","Shen","Top","47.14"
"Akali","Rammus","Top","46.42"
